Price,Close,High,Low,Open,Volume,Returns,Volatility-20d
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F,,
Date,,,,,,,
2017-02-07,52.16999816894531,53.2400016784668,51.630001068115234,53.13999938964844,624057,-0.015846070160064007,0.2457545710475341
2017-02-08,52.34000015258789,52.66999816894531,51.220001220703125,51.63999938964844,767379,0.003258615863700909,0.231343564873535
2017-02-09,53.0,53.209999084472656,52.369998931884766,52.369998931884766,610196,0.012609855664654113,0.21357983140874404
2017-02-10,53.86000061035156,54.130001068115234,52.900001525878906,53.150001525878906,596449,0.016226426610406852,0.21509280947930218
2017-02-13,52.93000030517578,53.95000076293945,52.77000045776367,53.79999923706055,586034,-0.017266993959094812,0.2199768536676827
2017-02-14,53.20000076293945,53.720001220703125,52.86000061035156,52.90999984741211,493022,0.005101085513072867,0.22050133685270776
2017-02-15,53.11000061035156,53.5099983215332,52.72999954223633,53.0,463638,-0.0016917321672406116,0.19568738033105054
2017-02-16,53.36000061035156,53.59000015258789,52.68000030517578,53.0099983215332,343363,0.0047072113938420035,0.19547726382434844
2017-02-17,53.400001525878906,53.52000045776367,52.880001068115234,53.470001220703125,195352,0.0007496423363906324,0.182897670373012
2017-02-21,54.060001373291016,54.68000030517578,53.349998474121094,53.47999954223633,665310,0.012359547351178612,0.1864628950031106
2017-02-22,53.59000015258789,54.599998474121094,53.349998474121094,54.2599983215332,499480,-0.008694066014865776,0.1878272861478017
2017-02-23,54.45000076293945,54.939998626708984,53.869998931884766,53.90999984741211,529880,0.016047781449950893,0.19275113901189989
2017-02-24,53.9900016784668,54.5099983215332,53.7599983215332,54.33000183105469,395258,-0.008448100606561426,0.18372137487221515
2017-02-27,54.04999923706055,54.61000061035156,53.939998626708984,54.02000045776367,394380,0.0011112716563903557,0.1785366822902792
2017-02-28,54.0099983215332,54.22999954223633,53.18000030517578,54.040000915527344,593909,-0.0007400724531354541,0.1738841527833321
2017-03-01,53.83000183105469,54.439998626708984,53.630001068115234,53.95000076293945,491289,-0.0033326512881366455,0.17447003578359557
2017-03-02,52.61000061035156,53.79999923706055,52.540000915527344,53.689998626708984,638390,-0.022663963945832588,0.17815919659507165
2017-03-03,53.33000183105469,53.38999938964844,52.54999923706055,52.58000183105469,436360,0.013685634144650738,0.18447753235570663
2017-03-06,53.20000076293945,53.560001373291016,52.7599983215332,53.189998626708984,503692,-0.0024376722979884136,0.18344809534481826
